id;title;stage;age_min_months;meal_type;texture;diet;prep_min;cook_min;ingredients;steps;nutrition_focus;iron_source;protein_source;allergens;fruit_veg;added_sugar;added_salt;texture_notes;safety_notes;family_adaptation;freezer_ok;batch_ok;evidence_tags;source_ids;source_urls
R023;Babos avokádókrém puha tortillával;9–12 hó;10;ebéd/uzsonna;krém + puha falat;vegán;7;5;80 g főtt fekete- vagy vörösbab | 1/2 avokádó | néhány csepp lime | puha, alacsony sótartalmú tortilla;A babot és avokádót törd simára. Vékonyan kend puha tortillacsíkra, vagy előtöltött kanálon kínáld.;Növényi vas, fehérje, energia és önálló evés.;bab;bab;glutén;avokádó;nincs;nincs;"A krém legyen nedves, a tortilla puha és vékony; ne legyen rágós vagy száraz.";A babhéjat törd szét. Tortillából ne adj nagy, összegyűrődő vagy kemény darabot.;A családnak paradicsommal, korianderrel és fűszerekkel quesadilla/taco alap.;nem;nem;"vegán; vasfókusz; gyors; családi étel";"WHO_PLANT_REVIEW;WHO_RF_REVIEW;CDC_CHOKING";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html"
R024;Sütőtökös kölesgolyó;9–12 hó;10;ebéd/uzsonna;puha finger food;vegán;10;20;120 g főtt köles | 100 g sült sütőtök | 20 g zabpehely | 1 tk olaj;Keverd össze, formázz lapos ovális falatokat, és röviden süsd össze 180 °C-on. Ne pirítsd keményre.;Gabonaféle, zöldség, energia és kéz-száj koordináció.;köles, zab;köles;glutén;sütőtök;nincs;nincs;"Puha, nedves, kézzel szétnyomható; inkább lapos, mint gömb alakú.";"A valódi gömbforma könnyebben elcsúszhat; lapos falatként add. Ne legyen száraz vagy kemény héjú.";A családnak fűszeres zöldségfasírtként, joghurtos szósszal tálalható.;igen;igen;"finger food; vegán; batch";"WHO_RF_REVIEW;CDC_CHOKING;WHO_PLANT_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3"
R025;Vöröslencsés bolognai;12–24 hó;12;ebéd/vacsora;családi étel;vegán;10;28;80 g vöröslencse | 250 g paradicsompassata hozzáadott só nélkül | 1 sárgarépa | 1/2 cukkini | 1 tk olaj | tészta;A zöldségeket reszeld le, olajon röviden párold, majd lencsével és passátával főzd puhára. Puha tésztával tálald.;Növényi vas, fehérje, rost és családi egytálétel.;vöröslencse;vöröslencse;glutén;paradicsom, sárgarépa, cukkini;nincs;nincs;A szósz legyen szaftos, a tészta életkornak megfelelő méretű és puha.;A hosszú tésztát vágd rövidebbre. A szósz ne legyen túl csípős vagy sós.;A felnőtt adaghoz parmezán, fokhagyma, chili és só kerülhet utólag.;igen;igen;"vegán; vasfókusz; családi étel; fagyasztható";"WHO_PLANT_REVIEW;WHO_CF_2023;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://www.who.int/publications/i/item/9789240081864;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R026;Marhahúsos-zöldséges ragu puliszkával;12–24 hó;12;ebéd/vacsora;családi étel;mindenevő;12;40;180 g sovány marhahús apró kockákban vagy darálva | 1 sárgarépa | 1/2 cukkini | 200 g paradicsom | 50 g kukoricadara | olaj;A húst és zöldségeket főzd egészen puhára, szaftos raguvá. A puliszkát vízzel főzd krémesre.;Hemvas, fehérje, zöldség és könnyen alakítható textúra.;marhahús;marhahús;nincs;sárgarépa, cukkini, paradicsom;nincs;nincs;"A hús legyen omlós vagy finomra darált; a puliszka lágy, nem gumis.";Kemény húsdarab ne maradjon. A puliszka hűlés után megkeményedik, ezért frissen, puhán tálald.;A családnak fűszeres marharagu és sajtos puliszka készülhet, a gyermek adagja előbb kerüljön ki.;igen;igen;"vasfókusz; hús; családi étel";"WHO_ASF_REVIEW;WHO_CF_2023;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://www.who.int/publications/i/item/9789240081864;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R027;Csirkés bulgur egytál;12–24 hó;12;ebéd/vacsora;családi étel;mindenevő;10;25;150 g csirkecombfilé | 80 g bulgur | 1 cukkini | 1 sárgarépa | 1 tk olaj | víz;A csirkét és zöldséget aprítsd, párold, majd a bulgurral együtt főzd puhára és szaftosra.;Fehérje, vas, teljes értékű gabona és zöldség.;csirkehús, bulgur;csirkehús;glutén;cukkini, sárgarépa;nincs;nincs;A bulgur legyen puha, a csirkedarabok kicsik és omlósak.;Ne legyen száraz vagy szemcsés. A húst teljesen süsd/főzd át.;A családnak mediterrán fűszerekkel, citrommal és joghurtos szósszal tálalható.;igen;igen;"családi étel; batch; hús";"WHO_ASF_REVIEW;WHO_RF_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R028;Lazacos joghurtos tészta borsóval;12–24 hó;12;ebéd/vacsora;családi étel;mindenevő;10;18;80 g lazac | 80 g tészta | 80 g zöldborsó | 3 ek natúr joghurt | kapor opcionálisan;A tésztát és borsót főzd puhára. A lazacot süsd át és szálkázd ki, majd joghurttal keverd össze.;Omega-3, fehérje, vas és zöldség.;lazac, borsó;lazac, joghurt;"hal; tej; glutén";zöldborsó;nincs;nincs;A tészta legyen puha, a borsót szükség szerint törd meg.;"A hal szálkamentes legyen. A joghurtot ne forrald hosszan; csak pasztőrözött terméket használj.";A felnőtt adaghoz citrom, fokhagyma, parmezán és bors kerülhet.;nem;igen;"hal; omega-3; családi étel";"WHO_ASF_REVIEW;FAMILY_MEALS_META;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://pubmed.ncbi.nlm.nih.gov/29369410/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R029;Spenótos-ricottás puha galuska;12–24 hó;12;ebéd/vacsora;puha falatok;vegetáriánus;15;12;150 g ricotta vagy túró | 1 tojás | 60 g párolt, finomra vágott spenót | 60 g liszt;Keverd össze, kiskanállal szaggasd gyöngyöző vízbe, és főzd ki. Natúr paradicsomszósszal tálald.;Fehérje, kalcium, tojás, spenótból vas és családi étel.;spenót, tojás;ricotta/túró, tojás;"tej; tojás; glutén";spenót, paradicsom;nincs;nincs;"A galuska legyen puha, kis méretű; szükség szerint vágd félbe.";A belseje főjön át. Nagy, rágós vagy gumis gombócokat ne adj.;A családnak zsályás vajjal vagy fokhagymás paradicsomszósszal tálalható.;igen;igen;"vegetáriánus; családi étel; vasfókusz";"WHO_ASF_REVIEW;WHO_RF_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R030;Cukkinis zabfasírt;12–24 hó;12;ebéd/uzsonna;puha finger food;vegetáriánus;12;20;1 közepes cukkini reszelve | 1 tojás | 60 g zabpehely | 2 ek natúr joghurt | 1 tk olaj;A cukkinit enyhén nyomkodd ki, keverd össze, formázz lapos fasírtokat, és süsd puhára.;Zöldség, tojás, gabona és könnyű kézbe vehető étel.;tojás, zab;tojás, joghurt;"tojás; tej; glutén";cukkini;nincs;nincs;Belül nedves és puha, kívül ne legyen kemény kéreg.;Ne süsd szárazra. Nagy, vastag fasírt helyett lapos korongot készíts.;A családi adaghoz feta, fokhagyma és fűszerek adhatók.;igen;igen;"finger food; zöldség; batch";"WHO_RF_REVIEW;WHO_UNHEALTHY_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R031;Zöldborsós tojásos rizs;12–24 hó;12;ebéd/vacsora;puha darabos;vegetáriánus;8;18;80 g főtt rizs | 1 tojás | 80 g zöldborsó | 50 g reszelt sárgarépa | 1 tk olaj;A zöldségeket párold puhára, add hozzá a rizst és a felvert tojást, majd süsd át teljesen szaftosan.;Tojás, borsóból növényi fehérje és vas, zöldség.;tojás, borsó;tojás, borsó;tojás;zöldborsó, sárgarépa;nincs;nincs;"A borsót 12–18 hónapos korban szükség szerint törd meg; a rizs ne legyen száraz.";A tojás teljesen süljön át. Egész, kemény borsószemet csak akkor adj, ha puha és a gyermek jól kezeli.;A felnőtt adaghoz szójaszósz csak utólag, külön tányéron kerüljön.;igen;igen;"tojás; gyors; családi étel";"WHO_ASF_REVIEW;WHO_RF_REVIEW;CDC_CHOKING";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html"
R032;Lencsés pásztorpite;12–24 hó;12;ebéd/vacsora;családi étel;vegetáriánus;15;35;150 g főtt barna lencse | 1 sárgarépa | 1/2 cukkini | 150 g paradicsom | 250 g burgonya | 1 tk olaj;A lencsét és zöldségeket főzd szaftos raguvá. Tedd sütőtálba, fedd krémes burgonyapürével, röviden süsd össze.;Növényi vas, fehérje, zöldség és családi egytál.;lencse;lencse;tej opcionálisan;sárgarépa, cukkini, paradicsom, burgonya;nincs;nincs;"A lencseragu legyen puha, a püré krémes; ne süsd kemény kéregre.";"A kész étel forró lehet a belsejében; tálalás előtt alaposan hűtsd és keverd át.";A családi adaghoz fűszernövény, sajt és só adható a gyermek részének kivétele után.;igen;igen;"vasfókusz; vegetáriánus; fagyasztható; családi étel";"WHO_PLANT_REVIEW;WHO_CF_2023;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://www.who.int/publications/i/item/9789240081864;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R033;Túró-zab gofri cukor nélkül;12–24 hó;12;reggeli/uzsonna;puha családi étel;vegetáriánus;8;15;150 g túró | 1 tojás | 80 g zabpehelyliszt | 1 érett banán | 80 ml víz vagy tej;"Turmixold vagy keverd simára, gofrisütőben süsd át. Ne süsd túl ropogósra; csíkokra vágva tálald.";Fehérje, gabona és gyümölcs hozzáadott cukor nélkül.;tojás, zab;túró, tojás;"tej; tojás; glutén";banán;nincs;nincs;Puha, nem száraz és nem kemény szélű.;A gofri belseje süljön át. Kemény, ropogós részeket vágd le kisebb gyermeknél.;A családnak friss gyümölccsel, joghurttal és magkrémmel tálalható.;igen;igen;"cukormentes; reggeli; batch; családi étel";"WHO_UNHEALTHY_REVIEW;WHO_RF_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R034;Meggyes túrós süti hozzáadott cukor nélkül;12–24 hó;12;uzsonna;puha sütemény;vegetáriánus;12;30;250 g túró | 2 tojás | 80 g zabpehelyliszt | 1 érett banán | 150 g magozott meggy | 2 ek joghurt;Keverd össze a túrót, tojást, zabot, banánt és joghurtot. Forgasd bele a magozott meggyet, majd 175 °C-on süsd át.;"Fehérje, gyümölcs, gabona; családi sütemény hozzáadott cukor nélkül.";tojás, zab;túró, tojás;"tej; tojás; glutén";meggy, banán;nincs;nincs;"Puha, szaftos kockákra vágd; ne legyen száraz vagy morzsálódó.";A meggymagokat gondosan távolítsd el. A sütemény közepe süljön át, majd teljesen hűljön ki.;"A családnak vaníliával és citromhéjjal ízesíthető; porcukor nem szükséges.";igen;igen;"cukormentes; túró; meggy; batch";"WHO_UNHEALTHY_REVIEW;WHO_RF_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R035;Banános zabmuffin;12–24 hó;12;reggeli/uzsonna;puha sütemény;vegetáriánus;8;22;2 érett banán | 2 tojás | 120 g zabpehelyliszt | 100 g natúr joghurt | 1 tk sütőpor;Keverd össze, mini muffinformában 175 °C-on süsd át. Hűlés után félbe vagy csíkokra vágva kínáld.;Tojás, gabona és gyümölcs hozzáadott cukor nélkül.;tojás, zab;tojás, joghurt;"tojás; tej; glutén";banán;nincs;nincs;"Puha és nedves; ne legyen nagy, száraz morzsa.";A sütőpor nátriumot tartalmazhat, ezért ne használj túl sokat. A muffin belseje süljön át.;A családi adaghoz áfonya, fahéj vagy dióőrlemény adható.;igen;igen;"cukormentes; batch; uzsonna";"WHO_UNHEALTHY_REVIEW;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R036;Sárgarépás hummusz szendvics;12–24 hó;12;reggeli/uzsonna;puha családi étel;vegán;8;10;100 g főtt csicseriborsó | 70 g puhára főtt sárgarépa | 1 tk tahini | citromlé | puha, alacsony sótartalmú kenyér;Turmixold krémesre és vékonyan kend puha kenyérre. Kis háromszögekre vagy csíkokra vágd.;Növényi vas, fehérje, zöldség és szezám.;csicseriborsó, tahini;csicseriborsó;"szezám; glutén";sárgarépa;nincs;nincs;A krém legyen lágy, a kenyér ne legyen száraz vagy kemény héjú.;A tahinit hígítva használd. Magas sótartalmú kenyérből csak keveset adj.;A családnak salátával, uborkával és fűszerekkel teljes szendvics készülhet.;igen;igen;"vegán; vasfókusz; szendvics; gyors";"WHO_PLANT_REVIEW;WHO_RF_REVIEW;WHO_UNHEALTHY_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3"
R037;Brokkolis-sajtos quinoa falatok;12–24 hó;12;ebéd/uzsonna;puha finger food;vegetáriánus;12;22;150 g főtt quinoa | 80 g párolt, aprított brokkoli | 1 tojás | 40 g reszelt, alacsonyabb sótartalmú sajt;Keverd össze, formázz lapos falatokat, és süsd össze. Ne pirítsd keményre.;Fehérje, tojás, zöldség és változatos gabona/álgabona.;quinoa, tojás;tojás, sajt;"tojás; tej";brokkoli;nincs;nincs;"Lapos, puha, nedves falatok; ne legyen gumis vagy kérges.";A sajt sótartalma miatt kis mennyiséget használj. A brokkoli legyen teljesen puha.;A családnak mártogatóssal, salátával vagy köretként tálalható.;igen;igen;"finger food; zöldség; batch";"WHO_RF_REVIEW;WHO_UNHEALTHY_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R038;Tökfőzelék puha húsgombóccal;12–24 hó;12;ebéd/vacsora;családi étel;mindenevő;15;30;300 g gyalult tök vagy cukkini | 2 ek natúr joghurt | kapor | 180 g darált pulyka | 1 tojás | 20 g zab;A tököt főzd puhára, joghurttal sűrítsd. A húsgombóc hozzávalóit keverd, formázz kicsi, lapos gombócokat és főzd/süsd át.;Fehérje, vas, zöldség és magyaros családi étel könnyített formában.;pulykahús, zab;pulykahús, tojás, joghurt;"tej; tojás; glutén";tök/cukkini;nincs;nincs;"A húsgombóc legyen puha és szükség szerint félbevágott; a főzelék ne legyen túl sűrű.";A gombóc teljesen süljön/főjön át. Ne formázz kemény, kerek, nagy golyókat.;"A családi adag külön sózható és fűszerezhető; ecetet csak a felnőtt tányéron adj.";igen;igen;"családi étel; hús; magyaros";"WHO_ASF_REVIEW;CDC_CHOKING;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R039;Zöldséges csirkeragu kuszkusszal;2–4 év;24;ebéd/vacsora;családi étel;mindenevő;12;25;250 g csirkecombfilé | 1 cukkini | 1 sárgarépa | 1 paprika | 120 g kuszkusz | olaj | citrom;A csirkét és zöldséget párold puhára. A kuszkuszt készítsd el, majd citrommal és fűszernövényekkel keverd össze.;Fehérje, vas, zöldség és családi közös étel.;csirkehús;csirkehús;glutén;cukkini, sárgarépa, paprika;nincs;nincs;"Kis, puha falatok; a zöldségek ne legyenek roppanósan kemények.";A hús teljesen süljön át. A paprika héját érzékeny gyermeknél távolítsd el.;"Ugyanazt eszi a család; a csípős és erősen sós ízesítés külön, a tányéron történjen.";igen;igen;"családi étel; hús; zöldség";"FAMILY_MEALS_META;WHO_RF_REVIEW;WHO_ASF_REVIEW";"https://pubmed.ncbi.nlm.nih.gov/29369410/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3"
R040;Halas paradicsomos tészta;2–4 év;24;ebéd/vacsora;családi étel;mindenevő;10;20;200 g fehér húsú hal vagy lazac | 250 g paradicsompassata | 160 g tészta | 1 cukkini | olaj;A halat süsd át, szálkázd ki. A cukkinit párold a paradicsomszószban, majd keverd hozzá a halat és a tésztát.;Hal, fehérje, omega-3 a választott halfajtától függően, zöldség.;hal;hal;"hal; glutén";paradicsom, cukkini;nincs;nincs;Kis, puha tésztával és szaftos szósszal tálald.;A szálkákat gondosan ellenőrizd. Nagy haldarab helyett kisebb pelyhekre szedd.;A családnak olívával, kapribogyóval és parmezánnal egészíthető ki külön.;igen;igen;"hal; családi étel; gyors";"WHO_ASF_REVIEW;FAMILY_MEALS_META;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://pubmed.ncbi.nlm.nih.gov/29369410/;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R041;Enyhe vöröslencsés curry rizzsel;2–4 év;24;ebéd/vacsora;családi étel;vegán;10;28;120 g vöröslencse | 200 ml kókusztej | 200 g paradicsom | 1 sárgarépa | enyhe curry/kurkuma | rizs;A lencsét és zöldséget főzd puhára paradicsommal és kókusztejjel. Enyhe fűszerezéssel, puha rizzsel tálald.;Növényi vas, fehérje, ízváltozatosság és családi étel.;vöröslencse;vöröslencse;nincs;paradicsom, sárgarépa;nincs;nincs;"Szaftos, puha állag; ne legyen száraz vagy túl csípős.";A csípős fűszereket kerüld. Kókusztejből hozzáadott cukor nélküli változatot válassz.;A felnőtt adag külön csípősíthető, korianderrel és lime-mal tálalható.;igen;igen;"vegán; vasfókusz; családi étel; ízváltozatosság";"WHO_PLANT_REVIEW;WHO_RF_REVIEW;WILSON_FIRST_BITE";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.basicbooks.com/titles/bee-wilson/first-bite/9780465093984/"
R042;Babos quesadilla puha háromszögekben;2–4 év;24;ebéd/uzsonna;családi finger food;vegetáriánus;10;12;2 puha tortilla | 150 g főtt bab | 60 g reszelt sajt | 1/2 avokádó | paradicsom opcionálisan;A babot törd meg, vékonyan kend a tortillára, szórd sajttal, hajtsd össze és alacsony hőfokon süsd puhára. Kis háromszögekre vágd.;Növényi vas, fehérje, energia és családi kézbe vehető étel.;bab;bab, sajt;"tej; glutén";avokádó, paradicsom;nincs;nincs;A tortilla maradjon puha, ne legyen keményre pirult.;"A babot törd meg; egész, kemény bab ne maradjon. A sajtot a sótartalom miatt mértékkel használd.";A családnak salsa, saláta, csípős szósz és több fűszer adható külön.;igen;igen;"vegetáriánus; vasfókusz; családi étel";"WHO_PLANT_REVIEW;WHO_UNHEALTHY_REVIEW;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/"
R043;Almás-zabos sütőpalacsinta;2–4 év;24;reggeli/uzsonna;puha családi étel;vegetáriánus;10;25;2 alma reszelve | 2 tojás | 140 g zabpehelyliszt | 200 g joghurt | fahéj;Keverd össze, öntsd sütőpapíros kisebb tepsibe, és süsd át. Kockákra vágva tálald.;Tojás, tejtermék, gabona és gyümölcs hozzáadott cukor nélkül.;tojás, zab;tojás, joghurt;"tojás; tej; glutén";alma;nincs;nincs;"Puha, szaftos kockák; ne legyen száraz.";Az alma magházát távolítsd el. A közepe süljön át.;A családnak magkrémmel, joghurttal és friss gyümölccsel tálalható.;igen;igen;"cukormentes; reggeli; batch";"WHO_UNHEALTHY_REVIEW;FAMILY_MEALS_META;ROSE_BROCCOLI";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://pubmed.ncbi.nlm.nih.gov/29369410/;https://dinanarose.com/its-not-about-the-broccoli/"
R044;Céklás hummusz puha pitával;2–4 év;24;uzsonna/vacsora;krém + puha falat;vegán;10;10;150 g főtt csicseriborsó | 100 g főtt cékla | 1 ek tahini | citromlé | puha pita;Turmixold simára. A pitát vágd puha, kis csíkokra, a hummuszt mártogatósként kínáld.;Növényi vas, fehérje, zöldség és színváltozatosság.;csicseriborsó, tahini;csicseriborsó;"szezám; glutén";cékla;nincs;nincs;A hummusz krémes, a pita puha és nem száraz.;"A pitát ne pirítsd keményre. A tahini allergén; ismert allergia esetén hagyd el.";A családnak falafel, saláta és fűszerek mellé tálalható.;igen;igen;"vegán; vasfókusz; mártogatós; szín";"WHO_PLANT_REVIEW;WHO_RF_REVIEW;WILSON_FIRST_BITE";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.basicbooks.com/titles/bee-wilson/first-bite/9780465093984/"
R045;Mini húsgolyó paradicsomszósszal;2–4 év;24;ebéd/vacsora;családi étel;mindenevő;15;25;250 g darált pulyka vagy marha | 1 tojás | 40 g zab | 300 g paradicsompassata | reszelt cukkini;A húsból lapos, kisméretű húspogácsákat formázz, süsd/főzd át, majd paradicsomszószban párold puhára.;Fehérje, vas és zöldség családi formában.;marha vagy pulyka, zab;hús, tojás;"tojás; glutén";paradicsom, cukkini;nincs;nincs;A „golyó” inkább lapos és puha legyen, szükség szerint félbevágva.;"A teljesen kerek, kemény húsgolyó fulladásveszélyesebb; tálaláskor vágd vagy lapítsd.";A családnak spagettivel, sajttal és több fűszerrel tálalható.;igen;igen;"hús; vasfókusz; családi étel; batch";"WHO_ASF_REVIEW;CDC_CHOKING;FAMILY_MEALS_META";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html;https://pubmed.ncbi.nlm.nih.gov/29369410/"
