id;title;age_range;area;subarea;location;prep_min;duration_min;materials;short_goal;setup;adult_role;easier;harder;observe;montessori_link;personality_link;source_ids;source_urls;evidence_tags
A045;Vízöntés fürdőpohárral;9-12 hó;Szenzoros és practical life;víz, ok-okozat;benti;1;10;kis pohár fürdéskor;Víz mennyisége, ok-okozat, kézhasználat.;Fürdéskor adj egy kis poharat, amiből önthet.;Csak vízben, biztonságos helyzetben.;Nagy pohár.;Két pohár közötti öntés.;Figyeli-e az áramlást, megismétli-e.;Practical life előkészítés valós kontextusban.;Kontroll és kiszámíthatóság.;"AMS_CORE; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf";"practical_life; szenzoros"
A046;Egyszerű utánzó mozgások;9-12 hó;Személyiség és mozgás;utánzás;benti/kinti;0;5;szülő teste;Szociális tanulás, testtudat, kapcsolat.;Taps, integetés, kopogás: egy mozgást mutatsz, majd vársz.;"Ne produkáltasd; a válasz lehet nézés is.";Egy mozgás.;Kétlépéses: taps majd koppintás.;Utánoz-e, kezdeményez-e.;Társaktól/felnőttől tanulás.;Kapcsolati öröm és kezdeményezés.;PARENTING_META;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602;"személyiség; nagymozgás"
A047;Kis akadálypálya kapaszkodással;9-12 hó;Nagymozgás;felállás, oldalazás;benti;2;10;stabil kanapé, párna;Kapaszkodás, oldalazás, egyensúly.;Tedd a kedvelt tárgyat a kanapé egyik végére, majd másikra.;"A bútor legyen stabil; ne siettesd a járást.";Tárgy közvetlenül előtte.;Oldalra lépésekhez tárgy áthelyezése.;Átviszi-e a súlyt, kapaszkodik-e stabilan.;Mozgás és célorientált cselekvés.;Önbizalom biztonságos keretben.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;nagymozgás
A048;Első könyvválasztó kosár;9-12 hó;Nyelv és személyiség;választás, könyv;benti;1;10;2-3 kemény lapos könyv;Könyv iránti érdeklődés és választási lehetőség.;Tegyél ki csak 2-3 könyvet, hagyd kiválasztani.;Olvasd azt, amit ő választ, akár csak 2 oldalig.;Egy könyv.;Két könyv közötti választás gesztussal.;Választ-e, lapoz-e, mutat-e.;Választás rendezett környezetben.;Autonómia és közös figyelem.;"BOOK_READING_META; LILLARD_BOOK";"local PDF uploaded in ChatGPT conversation; https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis";"nyelv; választás"
A049;Érmedobó doboz nagy koronggal;12-18 hó;Finommotorika;posting, precizitás;benti;5;15;doboz, nagy fa/műanyag korongok;Precíziós illesztés, kitartás, tárgyállandóság.;"Készíts vízszintes résnyílást; 3-5 nagy korong elég.";Mutasd be lassan, aztán hagyd ismételni.;Széles rés.;Keskenyebb rés, függőleges rés.;Ismétel-e hosszabban, mikor kér segítséget.;Izolált mozdulat, koncentráció.;Kitartás és frusztrációtűrés.;"LOVEVERY_BABBLER; GUIDED_PLAY_META";"https://lovevery.com/products/the-play-kits-the-babbler; https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730";finommotorika
A050;Fa vagy karton golyópálya;12-18 hó;Kogníció;ok-okozat, téri;benti;3;15;golyópálya/labdafutó;Ok-okozat, eltűnés-előkerülés, figyelem.;Adj egy egyszerű pályát, amin a labda látványosan végiggurul.;"Ne túl sok labda; 1-2 elég.";Rövid lejtő.;Két pályaösszeállítás összehasonlítása.;Követi-e, újraindítja-e.;Érdeklődésből induló ismétlés.;Kompetencia és előrejelzés.;LOVEVERY_BABBLER;https://lovevery.com/products/the-play-kits-the-babbler;"ok-okozat; téri"
A051;Húzós játék célhoz;12-18 hó;Nagymozgás;járás, célirány;benti/kinti;2;10;húzható játék vagy madzaggal doboz;Egyensúly és célirányos mozgás.;Adj stabil húzós játékot rövid szakaszra, célhoz: „vigyük a könyvhöz”.;Ne legyen túl hosszú zsinór, felügyelet szükséges.;Tologatós játék.;Kanyargós út vagy akadály kerülése.;Húzza-e maga után, nézi-e a hatást.;Mozgásos önállóság.;Autonómia, célkitűzés.;"LOVEVERY_ADVENTURER; MOVEMENT_META";"https://lovevery.com/products/the-play-kits-the-adventurer; https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/";nagymozgás
A052;Nagy gyöngy fűzése pálcára;12-18 hó;Finommotorika;kétkezes koordináció;benti;3;15;nagy gyöngy, merev zsinór/pálca;Kétkezes munka, szem-kéz koordináció.;Kezdd merev pálcával vagy vastag zsinórral, nagy lyukú elemekkel.;Csak az elsőt mutasd meg, utána próbálhassa.;Rúdra húzás.;Puha zsinór, 3-4 elem színsorrend nélkül.;Két kézzel dolgozik-e, kell-e stabilizálás.;Kéz előkészítése későbbi finommozgásokhoz.;Kitartás, önálló javítás.;"LOVEVERY_ADVENTURER; AMS_CORE";"https://lovevery.com/products/the-play-kits-the-adventurer; https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf";finommotorika
A053;Pegboard torony;12-18 hó;Finommotorika;illesztés, szín;benti;2;15;pegboard vagy lyukas doboz, nagy tüskék;Lyukba illesztés, vertikális építés, tér.;Tegyél ki kevés elemet, mutasd meg a behelyezést.;Ne szín szerint kérd még, csak építeni hagyd.;Egy sor lyuk.;Toronyépítés, két szín.;Mennyire pontosan illeszt, ismétel-e.;Kontrollált hiba, rendezett anyag.;Kompetencia és kitartás.;"LOVEVERY_ADVENTURER; SPATIAL_META";"https://lovevery.com/products/the-play-kits-the-adventurer; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"finommotorika; téri"
A054;Egylépéses utasítások poharakkal;12-18 hó;Nyelv;receptív nyelv, test;benti;1;10;2-3 pohár vagy doboz;Egyszerű instrukciókövetés és test-szókincs.;Mondj egy utasítást: „tedd bele”, „add ide”, „tedd a fejedre”.;Legyen játékos, ne teszt.;Mutatsz és mondasz.;Csak mondod, majd vársz.;Érti-e gesztus nélkül, kezdeményez-e.;Felnőtt támogatás fokozatos visszahúzása.;Együttműködés, kontrollérzés.;"LOVEVERY_ADVENTURER; PARENTING_META";"https://lovevery.com/products/the-play-kits-the-adventurer; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";"nyelv; személyiség"
A055;Zoknipárosítás nagyon eltérő párokkal;12-18 hó;Korai matematika;párosítás, azonosság;benti;2;10;2-3 nagyon eltérő zoknipár;Azonos-más, párosítás és practical life.;Tegyél két teljesen eltérő párt elé, mutasd meg: „ez ugyanolyan”.;"Nem baj, ha csak pakolja; a nyelvi input a lényeg.";Egy pár.;Három pár, hasonlóbb színek.;Észreveszi-e az azonosságot.;Matematikai gondolkodás valós tárgyakon.;Családi rutinban részvétel.;"HOME_MATH; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"matematika; practical_life"
A056;Kanalazás nagy babbal;12-18 hó;Gyakorlati élet;kanalazás, koordináció;benti;3;15;tálca, két tál, nagy száraz bab/tészta, kanál;Kéz-szem koordináció, koncentráció, előkészített munkaciklus.;Tálcán két tál között kanalazzatok száraz anyagot.;Csak akkor használj apróbb anyagot, ha nem veszi szájba.;Nagy kanál, nagy tárgyak.;Kisebb kanál, kevesebb kiborulás.;Koncentrál-e, kiborítva visszarendezi-e.;Practical life preliminary activity.;Rend, önállóság, felelősség.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; finommotorika"
A057;Törölgetés saját ronggyal;12-18 hó;Gyakorlati élet;környezet gondozása;benti;1;10;kis rongy, permetező vízzel vagy anélkül;Valós részvétel a környezet gondozásában.;Adj saját rongyot étkezés után vagy kis asztalnál.;"Ne a tisztaság legyen a mérce; a részvétel a cél.";Száraz rongy.;Kevés víz, saját mozdulatsor.;Követi-e a rutint, büszke-e.;Care of environment.;Hasznosság és családhoz tartozás.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; személyiség"
A058;Állatfigura-kép párosítás;12-18 hó;Nyelv és kategória;párosítás;benti;3;12;3 állatfigura + kép;Szókincs, reprezentáció és kategorizálás.;Tedd ki a figura mellé a képet, majd hagyd őt próbálni.;Ne túl sok állattal kezdj.;Egy figura-egy kép.;3-5 pár, állathangokkal.;Párosít-e, néven keres-e.;Konkrét-absztrakt átmenet.;Közös figyelem, sikerélmény.;"BOOK_READING_META; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis";"nyelv; kogníció"
A059;Egyszerű érzelemkönyv valós helyzet után;12-18 hó;Személyiség;érzelmi szókincs;benti;2;5;érzelemkép vagy könyv;Érzelmek megnevezése és ko-reguláció.;Egy sírás/nevetés után nyugodtan mutass képet: „szomorú voltál”.;Nem magyarázol hosszan, csak nevezed és megnyugtatod.;Egy érzelem: öröm/szomorúság.;Két érzelem összehasonlítása.;Később mutat-e képre, reagál-e.;Grace and courtesy és érzelmi nyelv.;Önérzékelés és ko-reguláció.;"LOVEVERY_OBSERVER; PARENTING_META";"https://lovevery.com/products/the-play-kits-the-observer; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";"személyiség; nyelv"
A060;Mini akadálypálya párnákkal;12-18 hó;Nagymozgás;egyensúly, tervezés;benti;3;15;párnák, alacsony matrac;Mászás, fel-le mozgás, motoros tervezés.;Rakj ki 2-3 puha akadályt, amin át lehet mászni.;Biztonságos legyen, de ne vedd el minden kockázatát.;Egy párna.;Több állomás: átmászás, bedobás, visszahozás.;Keresi-e a megoldást, melyik akadály nehéz.;Mozgásos tanulás.;Bátorság, önbizalom, kitartás.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;"nagymozgás; EF"
A061;Csavaros kupakok nyitása-zárása;18-24 hó;Gyakorlati élet;csavarás, finommotorika;benti;2;15;különböző nagy kupakos dobozok;Csavarás, kézerő, praktikus probléma.;Válassz 2-3 tiszta, nagy kupakos flakont/dobozt.;Ne töltsd tele, csak mechanikus gyakorlás vagy valós használat legyen.;Egy könnyű kupak.;Különböző menet, párosítás kupak-doboz.;Két kézzel dolgozik-e, segítséget kér-e.;Practical life és valós cél.;Önállóság, kompetencia.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; finommotorika"
A062;Válogatás szín szerint két tálba;18-24 hó;Korai matematika;osztályozás;benti;3;15;két színű nagy pompon/kupak, két tál;Csoportosítás, azonosság-különbség.;Kezdd két nagyon eltérő színnel, tálcán.;Ne kérdezz sokat: mutasd meg, majd hagyd.;Egy szín gyűjtése.;Három szín, csipesz használata.;Felismeri-e a kategóriát, önjavít-e.;Sensorial diszkrimináció és rend.;Rendezés mint kontroll és nyugalom.;"HOME_MATH; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"matematika; szenzoros"
A063;Öntés kancsóból száraz anyaggal;18-24 hó;Gyakorlati élet;öntés, koncentráció;benti;3;15;kis kancsó, két pohár, rizs/lencse ha nem veszi szájba;Kézmozgás, mennyiség, kontroll.;Tálcán két kis edény között öntsetek száraz anyagot.;Előbb nagyobb szemcséjű anyag, később kisebb.;Üres kancsóval mozdulat.;Kétféle edény, tölcsér.;Mennyire szabályozza a mennyiséget.;Practical life, rend, koncentráció.;Önkontroll és hibakezelés.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; finommotorika"
A064;Mini mosogató játék valós vízzel;18-24 hó;Gyakorlati élet;víz, rutin;benti/kinti;5;20;lavór, kis szivacs, műanyag tányér;Valós gondoskodási tevékenység és szenzoros játék.;Kevés vízzel, törölközőn mosson el 2-3 műanyag tárgyat.;Készíts elő helyet, ahol kiömlés elfogadható.;Száraz szivacsos törlés.;Mosás-szárítás sorrend.;Követi-e a sorrendet, elmélyül-e.;Care of environment, meaningful context.;Felelősség és családhoz tartozás.;"LOVEVERY_HELPER; AMS_CORE";"https://lovevery.com/products/the-play-kits-the-helper; https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf";"practical_life; szenzoros"
A065;Egyszerű rutin-kártyák sorrendbe;18-24 hó;Személyiség és EF;rutin, sorrend;benti;5;5;3 képes kártya: fürdés, pizsama, könyv;Sorrendiség, előrejelzés, kontrollérzés.;Este 2-3 képpel mutasd, mi jön most és utána.;Nem merev szabály, hanem vizuális kapaszkodó.;Két kártya.;Ő választja ki a következő kártyát.;Nyugodtabb-e az átmenet, mutat-e kártyára.;Rend és kiszámítható környezet.;Kontrollérzés, autonómia.;"LOVEVERY_HELPER; SELF_DRIVEN; DIAMOND_EF";"https://lovevery.com/products/the-play-kits-the-helper; local PDF uploaded in ChatGPT conversation; https://www.annualreviews.org/content/journals/10.1146/annurev-psych-113011-143750";"személyiség; EF"
A066;Egyszerű puzzle fogantyúval;18-24 hó;Téri gondolkodás;forma, illesztés;benti;1;15;3-5 darabos fogantyús puzzle;Formaillesztés, forgatás, problémamegoldás.;Kezdd kevés, nagyon eltérő formával.;"Ne forgasd helyette rögtön; mondd: „próbálod forgatni”.";Egy darab kivéve.;Minden darab, hasonlóbb formák.;Forgat-e, próbál-e másik helyet.;Kontrollált hiba.;Frusztrációtűrés és kitartás.;"LOVEVERY_HELPER; SPATIAL_META";"https://lovevery.com/products/the-play-kits-the-helper; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"téri; finommotorika"
A067;Páros tárgyak keresése a lakásban;18-24 hó;Korai matematika;párosítás, azonosság;benti;1;10;cipők, kanalak, zoknik;Azonos funkciójú tárgyak keresése.;Kérd: „keressünk még egy kanalat”, majd együtt hozzátok.;Legyen valódi cél: terítés, öltözés.;Egy pár cipő.;Több tárgykategória.;Érti-e a „még egy” és „ugyanolyan” fogalmát.;Matematika valós kontextusban.;Hasznos szerep, kompetencia.;"HOME_MATH; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"matematika; practical_life"
A068;Tépőzáras/filc állatok bújtatása;18-24 hó;Finommotorika;kétkezes koordináció;benti;3;15;filc állatok, zsebek/lyukak;Húzás, rejtés, kézhasználat, kategória.;Tegyél állatokat filc házakba/bújókba, hagyd kivenni-betenni.;Ne túl sok elemet adj.;Egy állat-egy zseb.;Több állat, szín/állat szerint csoportosítás.;Két kézzel dolgozik-e, történetet kezd-e.;Manipuláció és érdeklődés.;Gondoskodás, szimbolikus játék előképe.;"LOVEVERY_BABBLER; GUIDED_PLAY_META";"https://lovevery.com/products/the-play-kits-the-babbler; https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730";"finommotorika; személyiség"
A069;Egyszerű bevásárló kipakolás;18-24 hó;Gyakorlati élet;rutin, kategória;benti;1;10;nem törékeny bevásárlás;Valós részvétel, kategorizálás, szókincs.;Adj neki 3-4 biztonságos dolgot, amit kosárból polcra tehet.;Adj egyértelmű helyeket, ne sürgesd.;Egy tárgy elvitele.;Gyümölcs-zöldség csoportosítás.;Megjegyzi-e a helyet, segít-e.;Valós practical life.;Családhoz tartozás, hasznosság.;"MONTESSORI_ACADEMY; PARENTING_META";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";"practical_life; nyelv"
A070;Érzelem után választási ajánlat;18-24 hó;Személyiség;ko-reguláció, autonómia;benti/kinti;0;5;nincs eszköz;Düh/ellenállás után kontrollérzés visszaadása.;Tantrum után két elfogadható opció: „ölben jössz vagy kézen fogva?”;"Előbb megnyugvás, utána választás; ne alkudozás legyen.";Csak megnevezés: „dühös voltál”.;Vizuális kártyák opciókkal.;Megnyugszik-e választásra, elfogadja-e a keretet.;Choice within limits.;Autonómia biztonságos határok között.;"SELF_DRIVEN; PARENTING_META";"local PDF uploaded in ChatGPT conversation; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";személyiség
A071;Kis locsolókanna növényhez;18-24 hó;Gyakorlati élet;gondoskodás, víz;benti/kinti;2;10;kis locsolókanna, növény;Gondoskodás és mennyiségkontroll.;"Tölts nagyon kevés vizet a kannába; egy növényt locsoljon.";Előre limitáld a vizet, így nincs konfliktus.;Üres kanna cipelése.;Több növény képes sorrenddel.;Vár-e a sorára, megáll-e ha elfogyott.;Care of environment.;Felelősség, empátia élő dolog iránt.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; személyiség"
A072;Kinti gyűjtőkosár: kicsi-nagy;18-24 hó;Korai matematika;méret, természet;kinti;1;15;kosár, kavics/levél/toboz;Méretösszehasonlítás valós tárgyakkal.;Gyűjtsetek nagy és kicsi levelet/tobozt, te nevezd meg.;Ne legyen szájba vehető apró tárgy felügyelet nélkül.;Csak gyűjtés.;Két kupac: nagy-kicsi.;Használja-e a szavakat, válogat-e.;Sensorial és matematika a valós világban.;Közös felfedezés, kíváncsiság.;"HOME_MATH; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"matematika; természet"
A073;Vizes öntés két kancsó között;2-3 év;Gyakorlati élet;öntés, önkontroll;benti/kinti;5;20;két kis kancsó, víz, tálca;Precíz öntés, mennyiségkontroll, koncentráció.;"Kevés vízzel, tálcán; legyen szivacs a hibák kezelésére.";A kiömlés a tanulási ciklus része, nem baj.;Színezett víz nélkül, nagy kancsó.;Kisebb nyílás, jelölés meddig töltsön.;Visszatörli-e, lassít-e.;Practical life klasszikus öntés.;Önkontroll és önjavítás.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; EF"
A074;Csipeszelés színek szerint;2-3 év;Finommotorika;csipesz, válogatás;benti;3;15;csipesz, pomponok, tálak;Ujj-erő, szem-kéz koordináció, kategória.;"Tegyél ki 2 színt és csipeszt; mutasd a fogást.";Ha túl nehéz, kezdj kézzel válogatással.;Kézzel válogatás.;Kisebb csipesz, három szín.;Elfárad-e a keze, használ-e stratégiát.;Előkészítés íráshoz, rend.;Kitartás, szabálytartás.;"AMS_CORE; HOME_MATH";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"finommotorika; matematika"
A075;Banánvágás tompa késsel;2-3 év;Gyakorlati élet;ételkészítés;benti;5;15;banán, tompa kés, vágódeszka;Önálló ételkészítés, sorrend, kézhasználat.;Hámozás után mutasd meg a vágást, majd ő készítheti a saját adagját.;Biztonságos eszköz, lassú tempó.;Kézzel tördelés.;Kenyérkenés, epervágás felügyelettel.;Figyel-e a késre, büszke-e az eredményre.;Food preparation mint valós practical life.;Kompetencia, családi hozzájárulás.;"AMS_CORE; PARENTING_META";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";"practical_life; személyiség"
A076;Rutin térkép: reggeli készülődés;2-3 év;Végrehajtó funkciók;sorrend, átmenet;benti;10;5;képes rutinlap;Tervezés, átmenetek kezelése, kontrollérzés.;3-4 lépés: pisilés/pelenka, öltözés, reggeli, cipő.;Reggel csak rámutatsz, nem újra és újra szólsz.;Két lépés.;Ő fordítja le a kész kártyát.;Kevesebb-e az ellenállás, követi-e a képet.;Rend a környezetben és elmében.;Autonómia és együttműködés.;"LOVEVERY_HELPER; DIAMOND_EF; SELF_DRIVEN";"https://lovevery.com/products/the-play-kits-the-helper; local PDF uploaded in ChatGPT conversation; https://www.annualreviews.org/content/journals/10.1146/annurev-psych-113011-143750";"EF; személyiség"
A077;Képes lottó 3-4 képpel;2-3 év;Nyelv és kategória;szókincs, egyeztetés;benti;5;15;képes lottó vagy saját nyomtatás;Vizuális egyeztetés, szókincs, turn-taking.;"Kezdj 3-4 képpel; tedd rá a párját.";Ne versenyszerűen, hanem közös kereséssel.;2 kép.;Kategóriák: állatok, járművek, ételek.;Párosít-e, megnevezi-e.;Language és classification.;Társas szabályok első formái.;"BOOK_READING_META; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis";"nyelv; kogníció"
A078;Pink tower otthoni verzió dobozokkal;2-3 év;Szenzoros és téri;méret, sorrend;benti;5;20;különböző méretű dobozok/kockák;Méretdiszkrimináció, sorrend, toronyépítés.;Adj 5-6 azonos színű/anyagú dobozt, csak méretben térjenek el.;Ne javíts túl korán, hagyd, hogy a torony dőljön.;3 doboz.;Több elem, legnagyobbtól legkisebbig építés.;Figyeli-e a méretet, korrigál-e.;Pink tower elve: egy tulajdonság izolálása.;Rend, önjavítás, koncentráció.;"MONTESSORI_ACADEMY; LILLARD_PRIMARY; SPATIAL_META";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"szenzoros; téri"
A079;Színtáblák otthoni verziója;2-3 év;Szenzoros;színpárosítás;benti;5;15;színkártyák vagy kupakpárok;Színazonosítás és párosítás.;Készíts 3-4 színpárt, csak párosítani kell.;Ne színnév-tesztként használd először.;2 színpár.;Árnyalatok később.;Párosít-e név nélkül, figyel-e árnyalatra.;Sensorial színanyag adaptáció.;Rend és diszkrimináció.;"MONTESSORI_ACADEMY; LILLARD_PRIMARY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";szenzoros
A080;1-1 megfeleltetés terítésnél;2-3 év;Korai matematika;egy-egy megfeleltetés;benti;1;10;tányérok, kanalak;Mennyiség és társas rutin összekapcsolása.;Terítéskor minden tányér mellé egy kanalat tesz.;"Ne számoltatással kezdd; az egy-egy párosítás fontos.";2 teríték.;3-4 fő, később számolás.;Észreveszi-e, ha hiányzik egy kanál.;Matematika valós kontextusban.;Felelősség és családi szerep.;"HOME_MATH; MONTESSORI_ACADEMY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"matematika; practical_life"
A081;Egyszerű érzelemfigurák és történet;2-3 év;Személyiség;érzelmi szókincs;benti;3;15;babák/figurák, érzelemképek;Érzelmek felismerése, megnevezése, történetbe ágyazása.;Egy figura elesik: „szomorú lett, segíthetünk?”;Ne moralizálj, csak modellezz empátiát.;Egy érzelem.;Két figura eltérő nézőponttal.;Használ-e érzelemszót, vigasztal-e.;Grace and courtesy, valós társas helyzetek.;Empátia, mentalizáció kezdete.;"LOVEVERY_OBSERVER; PARENTING_META";"https://lovevery.com/products/the-play-kits-the-observer; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";"személyiség; nyelv"
A082;Egyszerű akadálypálya szabállyal;2-3 év;Nagymozgás és EF;gátlás, sorrend;benti/kinti;5;20;párna, karika, labda;Sorrendkövetés, mozgás, impulzuskontroll.;Példa: átmászik párnán, bedob labdát kosárba, visszajön.;Kezdd 2 állomással, sok ismétléssel.;Egy állomás.;Három állomás, stop-start jel.;Emlékszik-e a sorrendre, vár-e a jelre.;Mozgásos végrehajtó funkció.;Önkontroll játékosan.;"DIAMOND_EF; MOVEMENT_META";"https://www.annualreviews.org/content/journals/10.1146/annurev-psych-113011-143750; https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/";"nagymozgás; EF"
A083;Kis seprű és morzsatakarítás;2-3 év;Gyakorlati élet;környezet gondozása;benti;2;10;kis seprű, lapát;Valós takarítás, koordináció és felelősség.;Étkezés után legyen saját seprű-lapát feladat.;A cél részvétel, ne tökéletes tisztaság.;Te sepersz, ő tartja a lapátot.;Saját kis morzsakör összesöprése.;Vállalja-e, ismétli-e spontán.;Care of environment.;Hasznosnak lenni, önállóság.;"AMS_CORE; LILLARD_PRIMARY";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; személyiség"
A084;Első dobókockás lépegetés 1-3-ig;2-3 év;Korai matematika;számosság, sorrend;benti;5;15;nagy dobókocka 1-3 pöttyel, 5 mezős pálya;Pöttyök és lépések összekapcsolása.;Készíts 5 mezős pályát, 1-3 pöttyös kockával.;Ne a győzelem a lényeg, hanem a léptetés.;Csak 1-2 pötty.;1-6 pötty, számnevek.;Megfelelő számú lépést tesz-e.;Konkrét mennyiségből számfogalom.;Várakozás, turn-taking.;"HOME_MATH; GUIDED_PLAY_META";"https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730; https://pmc.ncbi.nlm.nih.gov/articles/PMC8634776/";"matematika; EF"
A085;Homokpapír betűk otthoni hangjátékkal;3-4 év;Nyelv;hang-betű kapcsolat;benti;5;15;durva textúrájú betűk vagy ujjrajz tálcán;Hangtudatosság és írásmozdulat előkészítése.;Csak néhány ismert hanggal kezdd, tapintással és hanggal együtt.;Ne betűnévvel kezdd, hanem hanggal.;Hangvadászat tárgyakkal.;Betű nyomkövetése liszttálcán.;Érzi-e a formát, hallja-e kezdőhangot.;Montessori sandpaper letters elve.;Kompetencia, koncentráció.;"AMS_CORE; MONTESSORI_ACADEMY; BOOK_READING_META";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis";"nyelv; finommotorika"
A086;Mozgatható ábécé előképe tárgyakkal;3-4 év;Nyelv;hanganalízis;benti;3;15;tárgyak kezdőhang szerint;Hangok elkülönítése és szókincs.;Tegyél 3 tárgyat, mondd: „melyik kezdődik m-m-m hanggal?”;Maradjon játék, ne iskolai feladat.;Csak hangutánzás.;Két kezdőhang szerinti válogatás.;Hallja-e kezdőhangot, próbál-e mondani.;Konkréttól szimbólum felé.;Önbizalom a nyelvi játékban.;"AMS_CORE; BOOK_READING_META";"https://amshq.org/wp-content/uploads/2025/02/EC-Core-Materials-2020.pdf; https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis";nyelv
