id,age,domain,title,place,prep_time,materials,intro,adult_role,easier,harder,montessori,source_ids
A065,5–6 év,Finommotorika,Varráskártya vagy egyszerű szövés,benti,15 perc,"varráskártya, fonal",Mutasd a lyukról lyukra haladást.,"A folyamat a cél, nem a tökéletes produktum.",nagy lyukak,minta követése,"ismétlés, koncentráció",S18; S10
A066,5–6 év,Társas/EF,"Bonyolultabb társasjáték, 2-3 szabállyal",benti,15-30 perc,társasjáték,"Először egyszerűsített szabállyal, aztán bővítsétek.",A veszítés tanulását is kísérd.,rövidített játék,teljes szabályrendszer,társas tanulás,S10; S2
A067,5–6 év,Projekt/STEM,Városépítés kockából és szerepjátékból,benti,30 perc,"kockák, autók, figurák","Előbb terv: hol legyen út, ház, bolt? Utána építés.","Hagyd, hogy a terv változzon.",csak építés,térkép + boltos játék + szabályok,"érdeklődés, jelentés",S6; S10; S17
A068,5–6 év,Gyakorlati élet/társas,Közös főzés: feladatmegosztás,benti,30 perc,egyszerű recept,"Ő mér, kever, tálal; te biztonságot tartasz.",Valós felelősséget kapjon.,1 feladat,"több részfeladat, időzítés","practical life, társas tanulás",S1; S12; S13
A069,5–6 év,Nyelv/narratíva,Meseszövés: eleje-közepe-vége kártyákkal,benti,10 perc,képkártyák,"Válasszon 3 képet, meséljen hozzá történetet.",Te modellálod a kötőszavakat.,2 kép,probléma-megoldás struktúra,jelentésteli kontextus,S7; S8
A070,5–6 év,Figyelem/szenzoros,Mit hallasz? hangvadászat kint vagy otthon,benti/kinti,0 perc,nincs,"Csukjátok be a szemeteket 20 mp-re, soroljátok a hangokat.","Ne verseny legyen, hanem megfigyelés.",2 hang,hangok sorrendje/irány,"figyelem, rend",S10; S11
A101,0–3 hó,Személyiség/szocioemocionális,Serve-and-return arcjáték,benti,0 perc,nincs,"Nézz rá, várd meg a jelzést, majd válaszolj hanggal, mimikával, rövid mondattal.","Ne szórakoztasd folyamatosan: hagyj kis szünetet, hogy ő is „válaszolhasson”.",csak mosoly és hang,rövid ritmusos szótagismétlés,"ko-reguláció, kapcsolat, jelentésteli kontextus",S12; S21; S22
A102,3–6 hó,Személyiség/szocioemocionális,Két tárgy közötti választás,benti,1 perc,két jól megfogható tárgy,"Tarts elé két tárgyat, várd meg, melyik felé néz vagy nyúl.","A választás még nagyon egyszerű legyen; a cél a hatásérzés, nem a döntési teljesítmény.",csak egy tárgy követése,két nagyon különböző tárgy,"választás, autonómia, érdeklődés",S1; S12; S26
A103,6–9 hó,Személyiség/szocioemocionális,Biztonságos visszatérés játék,benti/kinti,0 perc,szőnyeg vagy takaró,"Engedd röviden távolodni, majd amikor visszanéz, mosollyal és hanggal jelezd, hogy elérhető vagy.",A felfedezéshez nem kell folyton irányítani; elég biztonságos bázisként jelen lenni.,ölből nézelődés,kúszva/mászva távolodás majd visszatérés,"kötődés, felfedezés, biztonságos bázis",S22; S23; S12
A104,9–12 hó,Személyiség/szocioemocionális,Mit lehet helyette?,benti,0 perc,mindennapi tárgyak,"Amikor valamit nem lehet, rövid tiltás után mutass alternatívát: „ezt nem, ezt igen”.","A tiltás mellé adj cselekvési útvonalat, így a szabály tanulhatóbb lesz.",fizikai elterelés,két alternatíva közül választhat,"keretek, felnőtt scaffolding",S13; S21; S22
A105,12–18 hó,Személyiség/szocioemocionális,Érzelemnévadás valós helyzetben,benti/kinti,0 perc,nincs,"Röviden nevezd meg: „dühös vagy, mert elvettem”, „megijedtél a hangtól”.","Ne magyarázd túl; előbb szabályozás, utána tanítás.",csak megnyugtatás,érzelem + ok egyszerűen,"ko-reguláció, mental state talk",S21; S22; S27
A106,12–18 hó,Személyiség/szocioemocionális,Mini segítő szerep,benti,1 perc,"rongy, zokni, kanál, csipesz","Adj valódi részfeladatot: zoknit kosárba tenni, ronggyal törölni, kanalat adni.","Ne javítsd túl; a kompetenciaérzés fontosabb, mint a tökéletes kivitelezés.",egy tárgy átvitele,kétlépéses feladat,"practical life, kompetencia, autonómia",S1; S12; S26
A107,18–24 hó,Személyiség/szocioemocionális,Két elfogadható választás,benti/kinti,0 perc,nincs,"Olyan döntéseket adj, ahol mindkét opció jó: „piros vagy kék pohár?”, „előbb cipő vagy kabát?”.","Ne kérdezz olyat, ahol valójában nincs választási lehetőség.",egy döntés naponta,több rutindöntésben is,"választás, kontrollérzés, autonómia",S26; S31; S1
A108,18–24 hó,Személyiség/szocioemocionális,Rövid várakozási játék,benti,0 perc,nincs,"Mondd: „várunk három tapsot”, majd tapsolj lassan hármat, utána jöhet a kívánt dolog.","A cél mikro-várakozás, nem fegyelmezés.",egy taps,3-5 taps vagy rövid dal,"gátlás, figyelem, ritmus",S11; S21; S10
A109,2–3 év,Személyiség/szocioemocionális,Érzelmek tükörben,benti,2 perc,tükör vagy érzelemképek,"Mutassatok arcokat: vidám, mérges, szomorú, ijedt. Kapcsoljátok hétköznapi helyzethez.","Nem kikérdezni kell, hanem szókincset adni a belső állapotokhoz.",csak két érzelem,érzelem + ok + megoldás,"érzelemértés, mental state talk",S21; S24; S27
A110,2–3 év,Személyiség/szocioemocionális,Te jössz – én jövök kör,benti,1 perc,"labda, autó vagy toronyépítő elem","Egyszer ő gurít/tesz, egyszer te. Mondd röviden: „te jössz, én jövök”.","A váltás még nehéz; legyen gyors, kiszámítható és sikeres.",2 kör,5-6 kör vagy testvér/barát bevonása,"kortárs/proszociális alapok, szabály",S25; S24; S11
A111,3–4 év,Személyiség/szocioemocionális,Mit szeretne a baba/maci?,benti,2 perc,baba vagy plüss,"Játsszatok rövid helyzetet: „a maci fél”, „a baba éhes”. Kérdezd: „mit tehetnénk?”.","A cél másik nézőpont és érzelem gyakorlása, nem erkölcsi prédikáció.",te mondod a megoldást,ő választ két megoldásból,"theory of mind, empátia, szerepjáték",S27; S24; S25
A112,3–4 év,Személyiség/szocioemocionális,Nagyon rövid szabályos társasjáték,benti,3 perc,dobókocka vagy színes korongok,Válasszatok 3-5 perces játékot egy egyszerű szabállyal.,"A veszítés kezelése még tanulás; rövid játék, gyors újrakezdés.",kooperatív szabály,két szabály vagy hosszabb menet,"szabálytartás, EF, társas rugalmasság",S10; S11; S24
A113,4–5 év,Személyiség/szocioemocionális,Családi döntési kártya,benti,5 perc,papírlap vagy kártya,"Egy kisebb kérdésben kérd ki a véleményét: „melyik könyvet olvassuk?”, „melyik útvonalon menjünk?”.","Legyen valódi, de korlátozott döntés.",két opció,három opció és indoklás,"autonómia, kontrollérzés, felelősség",S26; S31
A114,4–5 év,Személyiség/szocioemocionális,Jóvátétel gyakorlása,benti/kinti,2 perc,nincs,"Ha konfliktus volt, kérdezd: „mit tehetnénk, hogy jobb legyen?”. Lehet rajz, ölelés, visszaadás, javítás.","A cél nem megszégyenítés, hanem kapcsolatjavítás és felelősség.",te ajánlasz két jóvátételt,ő talál ki megoldást,"proszociális viselkedés, érzelemszabályozás",S25; S21; S24
A115,5–6 év,Személyiség/szocioemocionális,Saját projekt mini-tervvel,benti/kinti,5 perc,"papír, ceruza, választott eszközök","Rajzoljatok tervet: mit szeretne építeni/készíteni, mi kell hozzá, mi az első lépés.","A projekt legyen az övé; te a struktúrát adod, nem a megoldást.",egy lépéses terv,három lépés + visszanézés,"kompetencia, autonómia, EF",S10; S11; S26
A116,5–6 év,Személyiség/szocioemocionális,Mi történt? Mit lehet tenni?,benti,3 perc,nincs,"Konfliktus vagy nehézség után három kérdés: mi történt, ki mit érzett, mit próbálunk legközelebb?","Nem kihallgatás; rövid, nyugodt, megoldásorientált beszélgetés.",egy kérdés,három kérdés és terv,"érzelemértés, problémamegoldás, felelősség",S21; S24; S27; S25
